Index  Temperature[C]  Zr[at%]         Nb[at%]         Mo[at%]         Cr[at%]         Al[at%]         Ti[at%]         Ta[at%]         W[at%]          Time[h]         MassChange[mg.cm2](Real) MassChange[mg.cm2](Predicted)
48     1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         1.49172         1.50943                1.44748               
49     1200.00000      0.00000         0.00000         0.00000         32.60000        0.00000         36.80000        30.60000        0.00000         24.00000        7.43218                7.20000               
50     1200.00000      0.00000         0.00000         0.00000         31.00000        0.00000         22.50000        46.50000        0.00000         15.48370        148.72681              150.21466             
51     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         48.49850        79.95587               81.15020              
52     800.00000       0.00000         45.00000        0.00000         0.00000         10.00000        30.00000        15.00000        0.00000         17.50751        6.84920                7.00284               
53     1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         8.50125         2.26947                2.90731               
54     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         20.15000        0.58442                0.97896               
55     1200.00000      0.00000         0.00000         21.25000        21.25000        15.00000        0.21250         21.25000        0.00000         6.50299         2.98446                3.15596               
56     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         3.94720         2.18462                2.39831               
57     1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        22.50000        10.00000        0.00000         18.49915        8.77437                9.00780               
58     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         20.65233        0.32745                0.63490               
59     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         16.54847        0.38151                0.51503               
60     1200.00000      0.00000         0.00000         22.30000        22.40000        22.40000        22.70000        10.20000        0.00000         5.00000         2.90946                3.63636               
61     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         24.00000        51.57128               50.00000              
62     1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         3.50751         1.18221                1.31310               
63     1200.00000      0.00000         50.00000        0.00000         50.00000        0.00000         0.00000         0.00000         0.00000         13.50150        11.24726               11.70052              
64     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         1.45145         11.06693               10.49835              
65     1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         38.48649        7.51751                7.69975               
66     1200.00000      0.00000         0.00000         22.40000        22.60000        22.30000        10.10000        22.60000        0.00000         5.00000         3.04611                3.27273               
67     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         5.95073         1.93863                2.07599               
68     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         18.35383        0.88405                1.20009               
69     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        0.00000         25.00000        0.00000         0.00000         -0.54377               0.00000               
70     1200.00000      0.00000         0.00000         19.50000        19.80000        20.20000        20.40000        20.10000        0.00000         24.00000        5.00623                5.29545               
71     1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         22.48649        5.80811                5.92305               
72     1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         25.00000        4.33022                4.41860               
73     1200.00000      0.00000         0.00000         0.00000         33.30000        0.00000         33.40000        33.30000        0.00000         6.49512         11.42591               11.74551              
74     1200.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         2.49268         1.39538                1.82409               
75     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         8.45846         26.34109               26.55469              
76     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         7.84906         2.82841                3.27133               
77     1200.00000      0.00000         50.00000        0.00000         50.00000        0.00000         0.00000         0.00000         0.00000         8.00000         9.34053                8.61314               
78     1200.00000      0.00000         33.60000        0.00000         0.00000         0.00000         32.30000        34.10000        0.00000         15.49550        170.77107              171.12427             
79     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         13.85607        -0.38105               -0.24699              
80     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         93.54354        113.10017              114.70259             
81     1000.00000      0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         0.00000         33.49349        15.26817               15.41555              
82     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         2.15600         2.46956                3.02571               
83     1200.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         21.49950        4.51601                5.02611               
84     1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        1.48148         1.43314                1.95113               
85     1200.00000      0.00000         0.00000         0.00000         80.00000        0.00000         0.00000         20.00000        0.00000         16.50458        14.94938               15.61266              
86     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         5.04530         1.90374                1.92719               
87     1200.00000      0.00000         0.00000         22.50000        22.50000        10.00000        22.50000        22.50000        0.00000         20.50125        4.31764                4.13540               
88     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         7.55030         2.68643                3.10929               
89     1100.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         10.47476        1.41506                1.53360               
